DATE,UL ,KHC,BAC,C,JPM
2/17/2017,48.82,97.769997,24.58,60.169998,90.470001
2/16/2017,42.619999,89.839996,24.620001,60.5,91.040001
2/15/2017,42.290001,91.300003,24.77,60.869999,90.870003
2/14/2017,41.790001,91.063004,24.17,60.110001,89.699997
2/13/2017,41.919998,90.599998,23.540001,59.369999,88.739998
2/10/2017,41.91,90.540001,23.24,57.950001,87.480003
2/9/2017,42.25,90.389999,23.15,57.540001,87.330002
2/8/2017,42.02,89.309998,22.73,56.919998,86.309998
2/7/2017,41.759998,89.019997,23.290001,58.07,87.400002
2/6/2017,41.209999,89.400002,23.379999,58.349998,87.449997
2/3/2017,41.52,89.349998,23.35,57.880001,87.309998
2/2/2017,41.400002,89.099998,22.790001,56.209999,84.910004
2/1/2017,41.279999,89.334999,23.219999,56.98,86.099998
1/31/2017,41.150002,89.559998,23.030001,56.959999,86.150002
1/30/2017,40.919998,89.5,23.200001,56.68,86.5
1/27/2017,41.110001,89.769997,23.450001,57.41,86.980003
1/26/2017,40.580002,89.900002,23.549999,57.98,86.949997
1/25/2017,42.619999,89.269997,23.42,57.919998,86.169998
1/24/2017,42.459999,89.190002,23.1,57.150002,85
1/23/2017,42.380001,88.949997,22.76,56.290001,84
1/20/2017,41.98,89,22.93,57.119999,83.830002
1/19/2017,41.619999,88.43,22.809999,57.599998,84.669998
1/18/2017,41.759998,88.589996,22.65,58.279999,84.230003
1/17/2017,41.73,87.974998,22.790001,59.32,85.220001
1/13/2017,41.610001,87.43,23.41,60.32,88.169998
1/12/2017,41.610001,87.769997,23.120001,59.82,87.269997
1/11/2017,41.259998,87.040001,23.07,60,87.080002
1/10/2017,41.060001,86.300003,23.139999,60.849998,86.900002
1/9/2017,41.25,86.474998,22.709999,60.639999,86.769997
1/6/2017,41,86.629997,22.85,60.84,86.620003
1/5/2017,41.369999,87.300003,22.93,61.43,87.110001
1/4/2017,40.91,87.970001,22.959999,61.630001,87.18
1/3/2017,40.580002,87.970001,22.68,61.09,87.760002
12/30/2016,40.860001,88.160004,22.26,59.799999,86.419998
12/29/2016,40.630001,88.150002,22.389999,60.119999,86.669998
12/28/2016,40.439999,87.769997,22.67,61.200001,87.389999
12/27/2016,40.610001,88.080002,22.74,61.299999,87.160004
12/23/2016,40.599998,87.620003,22.65,61,87.150002
12/22/2016,40.580002,87.290001,22.73,60.93,87.169998
12/21/2016,40.509998,86.989998,22.719999,60.91,86.809998
12/20/2016,40.450001,86.599998,22.83,60.799999,86.540001
12/19/2016,40.34,86.889999,22.719999,59.779999,85.440002
12/16/2016,39.919998,86.559998,23.32,60.610001,86.290001
12/15/2016,39.68,86.059998,23.389999,60.619999,86.489998
12/14/2016,40.790001,85.400002,23.299999,60.799999,86.120003
12/13/2016,40.959999,85.599998,22.879999,59.970001,85.669998
12/12/2016,39.990002,84.830002,23.25,60.09,85.790001
12/9/2016,39.889999,83.792999,23.17,60.220001,85.5
12/8/2016,39.369999,82.790001,23.24,60.799999,85.5
12/7/2016,39.919998,83.209999,22.57,59.16,84.089996
12/6/2016,40.23,80.877998,22.16,58.080002,83.809998
12/5/2016,40.209999,81.150002,21.870001,57.529999,83.290001
12/2/2016,39.790001,81.519997,21.5,57.240002,81.830002
12/1/2016,39.43,81.779999,21.940001,57.57,82.279999
11/30/2016,40.779999,83.510002,21.190001,56.720001,80.529999
11/29/2016,39.580002,84.5,20.540001,55.939999,79.160004
11/28/2016,39.619999,83.669998,20.85,56.349998,78.870003
11/25/2016,39.970001,83.290001,20.879999,56.799999,79.449997
11/23/2016,39.189999,84.309998,20.66,56.830002,79.239998
11/22/2016,39.310001,84.470001,20.469999,56.150002,78.559998
11/21/2016,39.18,83.82,20.35,55.990002,78.169998
